Sample_Index,ADC0_Counts,ADC1_Counts,ADC0_mV,ADC1_mV
1,512,409,2500,1997
2,626,497,3057,2427
3,729,586,3560,2861
4,810,668,3955,3262
5,863,735,4214,3589
6,881,780,4302,3809
7,863,798,4214,3896
8,810,789,3955,3853
9,729,752,3560,3672
10,626,692,3057,3379
11,512,615,2500,3003
12,398,527,1943,2573
13,295,438,1440,2139
14,214,356,1045,1738
15,161,289,786,1411
16,143,244,698,1191
17,161,226,786,1104
18,214,235,1045,1147
19,295,272,1440,1328
20,398,332,1943,1621
21,512,409,2500,1997
22,626,497,3057,2427
23,729,586,3560,2861
24,810,668,3955,3262
25,863,735,4214,3589
26,881,780,4302,3809
27,863,798,4214,3896
28,810,789,3955,3853
29,729,752,3560,3672
30,626,692,3057,3379
31,512,615,2500,3003
32,398,527,1943,2573
33,295,438,1440,2139
34,214,356,1045,1738
35,161,289,786,1411
36,143,244,698,1191
37,161,226,786,1104
38,214,235,1045,1147
39,295,272,1440,1328
40,398,332,1943,1621
